parcelle,id,disposition,date,nature,codecommune,departement,type,surface,piece,prix,latitude,longitude,surface_calc
35238000CT0354,2024-196362,1,2024-03-22,Vente,35238,35,Appartement,61,3,162000,48.0934500,-1.6625940,61
35360000AM0703,2024-196365,1,2024-03-18,Vente,35360,35,Appartement,46,2,165000,48.1192800,-1.2096620,46
351300000A0140,2024-196366,1,2024-03-25,Vente,35130,35,Maison,44,2,35000,48.2927880,-1.8014370,44
35219000XE0081,2024-196370,1,2024-03-13,Vente,35219,35,Maison,73,3,124000,47.7961730,-1.9295270,73
351260000K0186,2024-196377,1,2024-03-15,Vente,35126,35,Maison,133,6,334720,47.9696040,-1.8025150,133
350290000C0344,2024-196379,1,2024-03-12,Vente,35029,35,Maison,68,3,343325,48.4686070,-1.7763720,68
350290000C1389,2024-196379,1,2024-03-12,Vente,35029,35,Maison,90,3,343325,48.4687390,-1.7764590,90
35012000AD0062,2024-196380,1,2024-03-25,Vente,35012,35,Maison,102,4,134620,47.8418310,-1.6813730,102
35012000AC0463,2024-196381,1,2024-03-28,Vente,35012,35,Appartement,63,3,122000,47.8441200,-1.6795560,63
35297000AE0022,2024-196383,1,2024-02-29,Vente,35297,35,Appartement,54,2,70000,48.1878240,-2.1919050,54
35168000ZN0084,2024-196385,2,2024-02-15,Vente,35168,35,Maison,130,5,158980,47.9137770,-2.0420660,130
35250000AA0194,2024-196392,1,2024-03-28,Vente,35250,35,Maison,80,3,324472,48.0126690,-1.5861450,80
353020000E0650,2024-196395,1,2024-03-27,Vente,35302,35,Maison,135,5,464925,48.1761640,-2.1739520,135
35238000AM0057,2024-196396,1,2024-03-20,Vente,35238,35,Appartement,24,1,79000,48.1147280,-1.6938340,24
35250000ZI0014,2024-196401,1,2024-03-15,Vente,35250,35,Maison,109,4,271348,48.0093270,-1.5908790,109
35238000CV0530,2024-196402,1,2024-03-13,Vente,35238,35,Appartement,23,1,93000,48.0924300,-1.6701370,23
35238000CT0260,2024-196407,1,2024-03-13,Vente,35238,35,Maison,94,5,570000,48.0938420,-1.6645590,94
351930000B1558,2024-196408,1,2024-03-25,Vente,35193,35,Maison,128,6,217850,48.2486760,-1.7015930,128
35126000AI0429,2024-196411,1,2024-03-14,Vente,35126,35,Maison,65,3,157500,47.9362200,-1.7609110,65
35288000DC0121,2024-196413,1,2024-03-25,Vente,35288,35,Maison,84,4,170000,48.6143830,-1.9554590,84
35152000BC0261,2024-196414,1,2024-03-13,Vente,35152,35,Appartement,64,3,177500,48.2125540,-1.5082200,64
35196000ZI0200,2024-196416,2,2024-03-21,Vente,35196,35,Maison,149,6,730000,48.0956940,-1.8329440,149
35040000AE0190,2024-196418,1,2024-03-01,Vente,35040,35,Maison,100,4,175000,48.1423550,-1.9153340,100
350490000H0020,2024-196421,1,2024-03-26,Vente,35049,35,Appartement,41,1,122510,48.6719210,-1.8527250,41
35013000ZX0480,2024-196422,1,2024-03-25,Vente,35013,35,Maison,125,5,382100,47.7051650,-2.0752860,125
353310000B0840,2024-196423,1,2024-03-27,Vente,35331,35,Maison,59,2,1e+05,48.0953940,-1.9539580,59
35278000BE0717,2024-196424,1,2024-02-29,Vente,35278,35,Maison,122,5,476000,48.1571460,-1.6707890,122
35047000BM0092,2024-196431,1,2024-03-27,Vente,35047,35,Appartement,16,1,51000,48.0449010,-1.7409320,16
35177000AC0216,2024-196433,1,2024-03-27,Vente,35177,35,Maison,125,7,250000,48.2201790,-1.7564320,125
35238000CY0838,2024-196435,1,2024-03-08,Vente,35238,35,Maison,101,5,418750,48.0906920,-1.6877210,101
35139000AB0553,2024-196436,1,2024-03-13,Vente,35139,35,Maison,105,4,170000,47.9786950,-1.7198160,105
35281000AV0463,2024-196437,1,2024-03-25,Vente,35281,35,Appartement,75,3,253500,48.0769480,-1.7154980,75
35238000DI0257,2024-196438,1,2024-03-28,Vente,35238,35,Appartement,84,3,3e+05,48.1089160,-1.6796520,84
35312000WB0042,2024-196439,1,2024-03-06,Vente,35312,35,Maison,15,1,45000,47.9050820,-1.7891960,15
35069254AA0191,2024-196440,1,2024-03-22,Vente,35069,35,Maison,125,6,291750,48.0442580,-1.4649080,125
35238000HS0284,2024-196444,1,2024-03-22,Vente,35238,35,Appartement,46,2,169775,48.1319640,-1.6963450,46
35238000DR0019,2024-196445,1,2024-03-25,Vente,35238,35,Appartement,45,2,163500,48.0863500,-1.6954730,45
35288000AC0048,2024-196446,1,2024-03-08,Vente,35288,35,Appartement,44,2,262440,48.6505420,-2.0250180,44
35226000AB0470,2024-196447,1,2024-03-25,Vente,35226,35,Maison,36,1,115000,48.3988810,-1.9051310,36
351010000C0390,2024-196448,1,2024-03-19,Vente,35101,35,Maison,89,3,85000,48.1922020,-1.3684190,89
35066000AM0923,2024-196449,1,2024-03-15,Vente,35066,35,Appartement,65,3,155000,48.0417350,-1.7075800,65
35054000ZP0303,2024-196450,1,2024-03-29,Vente,35054,35,Maison,89,5,218900,47.9412690,-1.6144570,89
353620000G0014,2024-196454,1,2024-03-08,Vente,35362,35,Maison,118,4,130000,48.4864080,-1.8459040,118
35288000VM0116,2024-196455,1,2024-03-07,Vente,35288,35,Maison,124,5,530000,48.6471210,-1.9709980,124
351090000B1435,2024-196458,1,2024-03-19,Vente,35109,35,Maison,103,3,248000,48.0582530,-1.1982860,103
35288000AL0275,2024-196459,1,2024-03-29,Vente,35288,35,Appartement,69,3,370000,48.6557460,-2.0028770,69
352110000L0775,2024-196461,1,2024-03-12,Vente,35211,35,Maison,74,3,150000,48.0072390,-2.2300170,74
35240000ZH0555,2024-196462,1,2024-03-29,Vente,35240,35,Maison,95,4,306200,48.1025580,-1.7846350,95
35238000IZ0131,2024-196463,1,2024-03-29,Vente,35238,35,Appartement,24,2,85000,48.1209050,-1.6483290,24
35014000AB0965,2024-196464,1,2024-03-15,Vente,35014,35,Maison,55,3,95000,48.0085180,-1.2882440,55
350140000H1500,2024-196468,1,2024-03-19,Vente,35014,35,Maison,160,5,5e+05,48.0137180,-1.2842000,160
35334000AR0450,2024-196469,1,2024-03-29,Vente,35334,35,Appartement,89,4,260000,48.1589070,-1.5752310,89
35238000AD0195,2024-196470,1,2024-03-11,Vente,35238,35,Appartement,48,2,197320,48.1135900,-1.6941400,48
35067000AA0232,2024-196471,1,2024-03-06,Vente,35067,35,Maison,155,8,142000,48.2399460,-1.5655750,155
35288000BP1042,2024-196472,1,2024-03-18,Vente,35288,35,Maison,195,9,1100000,48.6334650,-2.0177070,195
35055000AH0434,2024-196473,1,2024-03-15,Vente,35055,35,Appartement,63,3,203500,48.0947930,-1.6100030,63
35152000BH0022,2024-196476,1,2024-03-22,Vente,35152,35,Maison,64,3,181000,48.2073960,-1.4999480,64
35278000BE0269,2024-196477,1,2024-03-11,Vente,35278,35,Maison,78,4,377400,48.1573810,-1.6744570,78
35238000AP0914,2024-196482,1,2024-03-28,Vente,35238,35,Maison,146,6,785040,48.1224680,-1.6869830,146
35207000AC0187,2024-196483,1,2024-03-22,Vente,35207,35,Maison,65,4,160000,48.1112470,-1.5217670,65
35238000CE0424,2024-196485,1,2024-03-27,Vente,35238,35,Appartement,66,3,195100,48.0990620,-1.6544860,66
350490000F0167,2024-196487,1,2024-03-11,Vente,35049,35,Appartement,38,2,120000,48.6767550,-1.8515130,38
352630000J0410,2024-196488,1,2024-03-14,Vente,35263,35,Maison,76,3,396450,48.6851390,-1.8963950,76
35238000LX0029,2024-196490,1,2024-03-15,Vente,35238,35,Appartement,80,4,212500,48.0890910,-1.6848090,80
35217000AB0191,2024-196491,1,2024-03-26,Vente,35217,35,Maison,82,4,120000,48.0354730,-1.0395900,82
35066000AK0873,2024-196492,1,2024-03-18,Vente,35066,35,Maison,118,5,304000,48.0393210,-1.6977270,118
35206000AP0270,2024-196494,1,2024-03-25,Vente,35206,35,Appartement,70,3,107500,48.0477810,-1.6633870,70
35288000BW0275,2024-196497,1,2024-03-29,Vente,35288,35,Appartement,57,2,140000,48.6359170,-1.9961740,57
35238000BW0377,2024-196499,1,2024-03-21,Vente,35238,35,Appartement,54,3,143500,48.0940290,-1.6694810,54
35360000BH0222,2024-196501,1,2024-03-20,Vente,35360,35,Maison,72,4,178000,48.1285240,-1.2140620,72
35248000AB0320,2024-196503,1,2024-03-27,Vente,35248,35,Maison,78,4,80300,48.5505280,-1.5833980,78
35184000AC0114,2024-196507,1,2024-03-28,Vente,35184,35,Maison,64,3,170000,48.2015450,-2.0443540,64
350240000D0671,2024-196509,1,2024-03-05,Vente,35024,35,Maison,92,5,190000,48.1653620,-1.6524710,92
35238000BK0886,2024-196510,1,2024-03-26,Vente,35238,35,Appartement,20,1,85000,48.1169220,-1.6566760,20
35238000AI0444,2024-196511,1,2024-04-02,Vente,35238,35,Appartement,74,3,261000,48.1078780,-1.7085580,74
35013000ZC0236,2024-196515,1,2024-03-29,Vente,35013,35,Maison,60,2,90000,47.7275160,-2.0871980,60
35238000BT0070,2024-196516,1,2024-03-29,Vente,35238,35,Appartement,53,2,150000,48.1034830,-1.6803090,53
35093000AL0423,2024-196517,1,2024-03-26,Vente,35093,35,Appartement,32,1,203000,48.6168410,-2.0628290,32
35238000AB0315,2024-196518,1,2024-03-29,Vente,35238,35,Appartement,24,1,185000,48.1158640,-1.6792210,24
35095000AT0461,2024-196520,1,2024-03-22,Vente,35095,35,Maison,233,7,495396,48.5377220,-1.7408770,233
35136000AB0384,2024-196521,1,2024-03-26,Vente,35136,35,Maison,97,4,199000,47.9626840,-1.5011850,97
350340000A0328,2024-196524,1,2024-03-25,Vente,35034,35,Maison,170,2,1e+05,48.5358200,-1.6534850,170
35238000AB0296,2024-196525,1,2024-03-25,Vente,35238,35,Appartement,72,3,180000,48.1206760,-1.6768340,72
35041000ZN0049,2024-196526,1,2024-03-26,Vente,35041,35,Maison,96,5,267200,47.9300670,-1.5530590,96
35238000BR0431,2024-196527,1,2024-03-27,Vente,35238,35,Appartement,40,2,150000,48.1076530,-1.6713260,40
35238000BN0424,2024-196528,1,2024-03-26,Vente,35238,35,Appartement,44,2,225000,48.1106310,-1.6651230,44
35088000YB0392,2024-196530,1,2024-03-29,Vente,35088,35,Appartement,44,2,146000,47.9854390,-1.5838900,44
